book,reviewer_name,star_rating,date,likes,relevance_score,segment_tag,review_text
No More Mr. Nice Guy – Robert Glover,Sandeep,4,,182,22,Nice Guy / Approval-Seeking Pattern,"This was a must read for me and made me realize the struggles and ordeals a ""Mr. Nice Guy"" goes through in all phases of his life. This book resonated with me because I was a Nice Guy throughout my high school years and early college life. I didn't understand back then why I was getting rejected by women, why I was settling making friends with people I didn't like, and why I felt afraid to get into arguments with my family. I knew the Nice Guy life was painful, but I thought that was the right way to live to be a well-rounded man. Robert A. Glover dealt head on about the misperception that being a Nice Guy will get you anywhere in life. He defines a Nice Guy, as any man or boy who has ever called himself that, is exactly what the term means when a girl says it in explaining why she is friends with a guy, but not attracted to him. It is the term referring to a neighbor who is willing to do any favor but who never seems to have his own affairs in order. It is the guy who always tries to please, but who people never seem to want to hang around anyway, or if they do, it’s only because he tries to do everything for everyone. He is an easy target for jokes because he smiles and takes it, never thinking of defending himself because he is afraid of conflict, thinking that if he just plays along, he will be liked. Glover goes into a lot of detail about this, but two of the most important traits of Nice Guys is that they seek to win the approval of others (especially women) by anticipating their needs, and they try to minimize or deny their own needs. Glover traces this first problem to a generation of men raised almost exclusively by women. After the 50s, fathers spent much more time away from home, working, and the home became the domain of the woman. Teachers in recent years have been almost exclusively female. Thus, a generation (now two) has grown up with no significant male role models and a strong disposition to winning the approval of female authority figures. Women raised these men, so you’d think they would be great with women, and women often describe Nice Guys as “a real catch for some (other) lucky woman.” Turns out, however, that women don’t actually like men who constantly try to please them. Nice Guys are so keen on winning approval because they are afraid of being abandoned as a result of childhood difficulties. Thus, in addition to trying to please others, caretake, and anticipate needs, Nice Guys avoid conflict like the plague. They believe that if they just fit in with everyone, don’t make any waves, never get negative attention, then others will want to be around them. Thus, they never stand up for themselves. Thus, nobody like them anyway. Their answer: try harder. The other big aspect of Nice Guys is that they try really hard to deny their own needs. This manifests in things from career aspirations to sex. Nice Guys think that, if they can be completely needless, then they will cause no trouble for others, won’t be competition, won’t make any demands, and will be liked. The problem is that they have to get their needs met somehow and too often they resort to passive-agressive behavior or build up a lot of resentment. It’s actually pretty illogical when you spell it out, but I know it’s how a lot of men think and behave, because I did. The real value of the book lies not in describing the Nice Guy Syndrome, but rather in providing a roadmap for men to break free of the thought patterns and behaviors that are holding them back. The old idea of manliness held that men should be assertive, confident, brave and have the self-assurance to follow their own path without trying to please everyone around them. Glover sprinkles his book with exercises for men to try in their journey to overcome their problematic thinking. The exercises range from thought experiments, to list-making and goal setting, to things like “do one thing for yourself every week.” The stories of men’s trials, tribulations, and triumphs truly is inspiring. We read of men who are so paralyzed by their fear of abandonment (disguised as a sense of responsibility to their family) that they let their wives walk all over them. When they start standing up for themselves, setting boundaries, their wives initially balk, but suddenly find themselves for assured of their husband’s love, more respectful, and more attracted to him. They appreciate the relationship more and find it gives them greater value as well. This goes into a lot of the psychology of attraction and male-female interactions, but the point of the book is often that women want to be with a man, not some male-shaped stand-in who lets her call all the shots. This willingness to give the woman all the power does not make a woman feel secure in her relationship. I really appreciated the writing of this book because it does a lot to give definition to that murky middle ground between pushover and jerk, that combination of assertiveness, consideration, self-efficacy that used to define manhood, but has since fallen prey to…I don’t know what (Glover offers a number of reasons including those aspects of the feminist movement that cast a lot of positive masculine traits as oppressive). There’s the good lead dancer, then there’s the guy that is too passive to lead well, and the guy who just shoves women around on the dance floor; the first is assertive, the third is insensitive and obnoxious, and the second is just as frustrating to dance with (I was also that guy, and I know women don’t like dancing with men who do that). I myself am still coming to grips with this vision of manhood, but so far, it has proven to be a truly liberating and empowering experience. My friends like me more, women find me more attractive, and I like myself more. Instead of losing friends because I bother to argue my point of view, instead of driving women away because I look after my own needs, instead of alienating professional contacts because I assert my presence, I now assure people of my ability to stand firm in my convictions and to take care of myself. I know, these things are obvious to anyone on the outside, but to someone who has believed his whole life in the lies of the Nice Guy, it’s kind of an eye-opener. I highly recommend this book to anyone, male or female, who wants to understand either the dynamics of male self-empowerment, or the ways men and women interact and fill unique roles in a relationship. If you know a Nice Guy who can’t understand why he never gets what he wants in life even though he tries so hard, please, please save him the agony and get him this book."
No More Mr. Nice Guy – Robert Glover,Jonathan Karmel,5,,32,16,Nice Guy / Approval-Seeking Pattern,"Characteristics: According to this book, “Nice Guys” have a set of personality traits that they need to change in order to improve their lives. They think of themselves as doing everything “right,” giving to other people, taking care of other people and trying to help other people by fixing other people’s problems. But underneath the surface, they actually are desperately seeking approval from others, especially women. A Nice Guy’s life revolves around trying to please a woman and make her happy. Nice Guys are more comfortable relating to women than men. They are trying to avoid conflict, trying to hide their own flaws and mistakes and repressing their feelings. They have difficulty making their own needs a priority, and they make their partners their emotional center. They act like helpless, whiny, wimpy, needy victims, instead of taking control of their lives. Causes: Nice Guys tend to have had absent fathers, and they try to be the opposite of their fathers. The problem is that they tend to be the opposite extreme, which is just a different kind of craziness. Nice Guys are monogamous to their mothers – they don’t become independent from their mothers after puberty. Nice Guys have feelings of abandonment from childhood that they have never let go of. This leads to toxic shame, the belief that there is something wrong with them, and the only way to get approval from others is to hide aspects of themselves that they think are bad. People who try to be perfect children grow up to be Nice Guys. Nice Guy syndrome started when boys started to grow up without men in an educational system dominated by women, and when certain anti-male attitudes became widespread (men are pigs, men are rapists, a woman needs a man like a fish needs a bicycle). Covert contracts: Nice Guys believe they are giving, but they are only giving in order to get something in return. Nice Guys think: if I can hide my flaws and become what I think others want me to be, then I will be loved, get my needs met, and have a problem-free life. When this doesn’t work, Nice Guys try harder, instead of doing the opposite. They think that if they are mostly good, they build up credit so that they will get a pass when they screw up. They try to be low maintenance, but they have a “covert contract.” If I’m nice to her, she’ll owe me, and she’ll do nice things for me. “I will do X for you, so that you will do X for me. We will both act as if we have no awareness of this contract.” Rather than just being nice with no strings attached, and directly asking for what they want, Nice Guys hide what they need and what they want. Caretaking means focusing on someone else’s needs in order to feel valuable, rather than trying to get your own needs met. Healthy people are caring but focus on getting their own needs met. Compartmentalization: Nice Guys believe themselves to be honest, but they are actually dishonest and secretive. They compartmentalize their secret lives from the persona they try to project. They are not integrated, because they don’t accept both the good and bad aspects of themselves. They are isolated, passive-aggressive, full of rage and addictive. When they feel ashamed, they try to deflect the shame onto others by becoming defensive and pointing out the other person’s flaws. They build up walls (addictions, sarcasm, isolation), instead of letting it all hang out. They don’t realize that people are not drawn to perfection. People are drawn to shared interests, shared problems, and an individual’s life energy. Co-creating dysfunctional relationships: Nice Guys have difficulty with intimacy, because they are attracted to people with problems who need fixing. They give in to their partners’ dysfunction by also being dysfunctional themselves. They become enmeshed in the relationship at the expense of doing the things that make them happy. Copulation: Nice Guys are dissatisfied with their sex lives. Nice Guys think that sex is a pill that will take away loneliness, cure boredom, alleviate feelings of worthlessness, smooth over conflict, create feelings of being loved, relieve stress and generally solve all personal problems. Careers: Nice Guys are only relatively successful, because they are underachievers, afraid to leave jobs even when they aspire to do something else. Stop being a Nice Guy. Do the opposite: Nice Guys should stop seeking the approval of others and make their own needs a priority. They should be giving with no strings attached. They should develop integrity and be honest. They should stop trying to hide their flaws and just allow themselves to be human. They should express their feelings. When they screw up, they should not defend, explain, excuse and rationalize (DEER); they should just admit they screwed up. They should ask for help when they need help. They should stop expecting life to be smooth and free of conflict. A Nice Guy needs to believe that it’s okay to be a guy. He should hang out with other guys. He should be masculine. He should be comfortable around other guys. He should believe that other guys are not jerks. He should have male friends. He should build meaningful relationships with other men, not disassociate with other men. He should not be a loner. Men have strength, discipline, courage, passion, persistence and integrity. They can also be aggressive, destructive and brutal. Nice Guys should not repress the fact that they possess these traits. If a Nice Guy’s wife is depressed, angry all the time and has no interest in sex, and if he feels like he’s constantly walking on eggshells trying to make sure he doesn’t do anything to upset her, he should “surrender.” That means he should accept what he cannot change and realize that everything will be okay even if the relationship fails to be what he wants it to be. He should think of this life experience as a “gift” that gives him the opportunity for self-improvement. In general, a Nice Guy should accept reality, instead of trying to change what he cannot control. He should act as if the thing that’s bothering him is a gift that will spur him to learn from his mistakes. Other things the author advocates: Masturbate without using any fantasy or pornography. Say no to bad sex; don’t be a “bottom feeder.” Consider going on a sexual moratorium for up to six months. Stop trying to please your wife in order to get more sex. The author’s specific advice: Find safe people who can give you support, and then reveal yourself to the safe people, including your secrets, your dark side, the things you’re ashamed of. Stop hiding things. Figure out what happened during childhood that made you feel not OK. Don’t act pleasant, unselfish, gentlemanly, sober, healthy, nice, respectful, inoffensive and good in order to get approval from others – these are attachments. Act like you don’t care whether others approve of you, and stop hiding your imperfections. Act like people would still love you even if they saw your imperfections. Act as you would if you were not trying to please other people. Stop trying to be good in order to get validation from others. Do something for yourself. Tell yourself positive affirmations, such as “people love and accept me just as I am.” Take a vacation by yourself to a place where no one knows you, and be yourself. Spend a weekend putting your own needs first. Act like people want to help you get what you need. Stop entering into covert contracts. Stop caretaking, and start caring (giving with no strings attached). Be aware of “victim pukes” from the frustration of the other person not fulfilling their obligations in a covert contract: cutting remarks, embarrassing the other person in public, being critical, withdrawing, letting frustration build up until you blow up. Stop trying to do things right, play it safe, fix problems, not rocking the boat, stop being charming and helpful, stop being low maintenance, stop being controlling and manipulating, withholding information, repressing feelings, avoiding problems and difficult situations. Tell people how you feel, but not in a way that is critical of the other person; no one else is to blame for the way you feel. Confront your fears that prevent you from acting with integrity and convince yourself that you can handle it. Set boundaries regarding when you’re going to not put up with something and learn how to say “no.” Don’t tolerate intolerable behavior just to avoid conflict. Hang out with other guys, and stop seeking the approval of women. Stop neglecting your body; take care of yourself. Imitate healthy, masculine guys and visualize being one. Develop a realistic picture of what your father was like; how he failed to act as a male role model. Act as a role model yourself by doing guy stuff with your sons or other boys in your life. Reinforce good behavior from your partner and stop rewarding bad behavior, just like you would with your child. Don’t settle for bad sex; bad sex is worse than no sex. Realize that you have to meet your own needs; no one was put into this world to meet your needs but you. Don’t stay in a boring, unfulfilling job. Do what you want to do. Don’t settle for mediocrity. If there’s something you want to do, but you are afraid to fail, go ahead and do it anyway as if you knew you would succeed. Well, I'm definitely not the archetypal ""Nice Guy,"" but I can see what he's talking about. Good book. I think a book like this shows the limitations of the DSM. I bet this author has helped a lot of people, but obviously being a ""Nice Guy"" is not on the list of mental disorders."
No More Mr. Nice Guy – Robert Glover,Eli,1,,76,14,Nice Guy / Approval-Seeking Pattern,"The basic premise of Glover's work is established on the existence of a phenomena known to the author as 'The Nice Guy Syndrome'. According to him, because many men as children did not get their 'needs met in a timely, judicious manner', their minds have been conditioned to believe that they are the cause of this inadequacy; that they are not worthy of what they want, nor are they capable of getting it. He also argues (agreeably, I think) that the increasing absence of fathers in the lives of their sons since World War II contributes to this poor conditioning, as well as the increasing prevalence of women as authority figures in a similar trend. Children, he asserts, are less inclined to know what it means to be men due to a distanced relationship with their dad, and learn techniques and behavior suited to winning the approval of women. These are usually manifested in what would colloquially be known as being a 'goody-goody' or 'suck-up', attempting to be worthy of praise and approval from an authority figure, who in this case is almost universally female. According to the author, in addition to believing that they were responsible for or unworthy of their 'needs' (which in some examples are quite less than needs, strictly speaking), these children were chastised for any behavior which went against the inclinations or desires of their authority figures, and subconsciously make the connection that it is this disappointment that they have caused that is responsible for their not 'getting their needs met in a timely, judicious manner' (the phrase is used several times verbatim), despite this not necessarily being the case at all. Because of this, as they grow up and face the world as adults, their default tendencies and mechanisms of behavior yield further disappointment. In every facet of their life, the same method is employed, and the conclusion reached; to suck up, and then believe that everything is your fault when this does not work. In this way, the 'Nice Guy' is only superficially nice, using his favors and pleasantness as currency for his own selfish ends. The book is littered with examples of people who are 'stuck' at an undesirable job, in broken or otherwise dysfunctional relationships, or even from pursuing the life that they desire in general. Thus runs the essential diagnosis of the work. One of my greatest complaints is that the book's methods for healing these wounds is none other than the common sense derived from an honest five-minutes' devotion of thought to the problem. Really, most of these issues are simple in nature, at least insofar as they have been presented, and in every instance, some basic application of initiative and common sense is the solution. We hear of people who are in bad relationships with their wives or girlfriends, and who try to win sex and their love through buying them gifts or doing their chores for them, and feel trapped when this yields an opposite result. The amazing thing is that when these people consulted the advice of our professional, qualified author, their solution was simply to announce their intentions and ask them to have sex, which almost always worked in the cited examples. This effect is commonplace: people who were promised a raise upon their graduation and were then denied it and feel stuck in their job are told to quit their job and pursue a career where their qualification would ensure better success. There are many who are 'stuck' in tight situations, and who are miraculously rescued by this same combination of common sense and initiative. The way that the book is written is also unimpressive. I was expecting much more psychological analysis and scientific content, but instead (and to my surprise) was presented with something resembling a continuous 'Dear Abby' newspaper column, or a bunch of stuff pulled off of Yahoo Answers and other such sites of questionable repute. The author claims that it took him six years to write this 100-something page, large-type compendium of self-help web articles and therapeutic 'Breaking Free' activities thrown about throughout. The whole work is literally a continuous list of these problems within different facets of life (though they are all the same fundamentally), the same solution I do not mean to be excessively contentious, but I honestly have a difficult time believing that this kind of a work requires a PhD to write. Perhaps he is truly incapable as an author, but otherwise, there is no way that a PhD in this field can devote six years to writing a book of this nature and come up with something so cheap and predictable, or else he gives his field and his degree a bad name. There is also an abundance of strange, New-Age 'kookiness' strewn here and there throughout. Whether this takes the form of 'feeling the energy of the universe' or a therapeutic exploration of one's self through 'healthy masturbation' (with no goal or aim in mind), this book certainly fits the 'quack' stereotype quite well. He also flips between the working imperative of 'it's up to you, just do it' and the passive 'it's all your environment and conditioning's fault - remember, you did not get your needs met in a timely, judicious manner! ', and does this often, giving the book an annoying, bi-polar mood which presents the author in a more confused light than his patients. The blind cannot lead the blind. Neither is this book concerned with living an honorable, respectable life, or about the meaning of manhood in general (though it is intentionally dedicated to men): it is nothing but an obvious diagnosis, and equally obvious application of initiative and common sense aimed at gratifying one's desires (labelled as 'needs') at any cost. The righteousness of the end aside, the book is devoid of all scientific information and analysis, and the means employed are nothing beyond the basic usage of the will and the mind. This is a genre that I will not return to for some time. Expecting something vastly different, I was very disappointed. I suppose that my conception of living in the right manner differs greatly from many others (judging from the popularity of this book), but I will stick to studying the lives of great men to satisfy that objective. Adventure, honor, courage, dignity; these are the qualities that I seek to aspire to (and those which true manhood espouses), and in this sad book I found them not."
No More Mr. Nice Guy – Robert Glover,Hans,5,,46,13,Nice Guy / Approval-Seeking Pattern,"LOVED THIS BOOK! Maybe because for a good portion of my life I've been a Perennial ""Nice Guy"". I'd recommend this book in a heartbeat to more people than I can name. And Ladies, before getting nervous that this book implies ""How to be a Jerk"", it totally isn't. On the contrary this is a book about how ""Nice Guys"" have, through long post-modern cultural indoctrination, lost their voice and how to get it back. This is a book written by a Therapist, not a Macho-Womanizing-Player. Dr. Robert Glover has studied what he dubs ""The Nice Guy"" syndrome for years. Nice Guys are males who have mastered living in Cognitive Dissonance. They are the most creative Dishonest people around. On the outside they can appear to have everything, a decent job, a nice home, a good family, but underneath it all these males are falling apart. What the false appearances don't reveal is an individual who is completely unable to admit to themselves that they are basically miserable. The problem is two fold, first that they don't see their own misery, and 2nd they don't know what is causing it. Another term that could be used to accurately describe this phenomenon would be ""Self-Deception"". The author explains how this cultural development came about. For generations boys learned from their fathers about how to be men by working alongside them in the fields. When society became urbanized this took men away from the home and left boys to be raised by their mothers. With Teachers also being primarily women, boys were growing up having to learn about how to be men from women. This of course led to some internalized distortions of what that meant. From vindictive women who wanted to teach their sons to not be ""like"" their father to women who merely could not understand boys' overly physical and disruptive behavior, women did what they knew best and raised boys to be and act in ways more similar to women. This of course creates an endless list of identification problems for boys when they come of age. The root problem with Nice Guys is this, they crave more than anything else to simply be accepted and loved, a natural human need, but they go about it backwards by placing other's approval of them above their own approval of themselves. Thus they are like the perpetual child who does everything just right to try and please ""mommy and daddy' so that they will love him. They grow up into perpetual people pleasers placing the mercy of their own internal well being on other people and their opinions of him. Dr. Glover argues that the ""Nice Guy"" is the guy who because he has lost his ""voice"" resorts to passive aggression, dishonesty, and evasion all the while saying that he is fine and perfectly happy. Underneath, however, he is seething and miserable and doesn't understand or know why. Nice Guys are the guys that everyone can take advantage of, you can ask them for anything and they will give it up, they are easily exploited, they volunteer for everything. All the while they are only craving to be accepted. Luckily there is a way out of this warped way of being. Integration, the root of of which ""integer"" means ""whole"". Integration meaning ""to be whole"". These men simply have to reclaim their lives, establish personal boundaries, stop living for the approval of others, do things for themselves and quit avoiding conflict. As they develop that relationship with their masculinity they will grow in personal Courage, Strength and Mastery. The fastest way for males to achieve this is by hanging out with other males. Only men can help other men learn to be true to themselves and live in line with their inner masculinity."
No More Mr. Nice Guy – Robert Glover,Ben Mordecai,3,,11,10,Nice Guy / Approval-Seeking Pattern,"I'll get straight to the point. This book sucks. I got about 100 pages in and realized I was only halfway through and decided it wasn't worth the time to finish. It's not because it's ""controversial"" but because it's simply bad. I'm not one to shy away from the controversial and especially not from the manosphere but this just isn't good. I don't consider myself a ""Nice Guy"" but I know that most men could stand to actively check themselves to see what areas of their life need improvement. Initially, I wondered if I was the wrong audience for the book and not really the ""Nice Guy"" he is working with, but then I realized that any of these ""Nice Guys"" who actually need help aren't going to get it here. 1. The Tone of the Book The author is a therapist and it shows. Every obnoxious stereotype of therapy is true of this book: vague empty words about ""baggage,"" ""surrender,"" ""support,"" ""manipulation,"" and how ""messy"" life is, how to ""let go,"" and ""be yourself."" This dude wrote a book for Beta Males and yet he himself can't even be direct. This is the kind of inane nonsense that you pay therapists $150/hour for and accomplish nothing. The author literally describes a time he got in an argument with his wife and HE went to go cry in the bathroom because his feelings got hurt. 2. The Self Promotion The author can't go a chapter without talking about his seminars, almost like they are a specialized Alcoholics Anonymous chapter. I didn't buy the book to learn about your seminars dude. The author himself being twice divorced really begs the question of why he is so qualified to give men advice about relationships. 3. The Case Studies These ranged from disgusting to infuriating. I'm supposed to be sitting around reading about the sex lives of gay men and be rooting for their relationship? Hard pass. This guy gives at least two examples of men he convinced to get divorces including one who had just had an affair, and he acted like it was a real accomplishment for the man to get the courage to do so. Exhibit A on why one should mistrust family therapists. 4. The Broad Generalizations Every single ""Nice Guy"" got that way because of his childhood. Every single ""Nice Guy"" is ultimately concerned with winning approval. I found there were a few of the ""Nice Guy"" problems that I felt like I've had in previous relationships but almost none of the ""Nice Guy"" tendencies and behaviors. So, false positive? What's the real problem here? I could go on but this review has gone on long enough. If you're a pansy and you want to become a slightly more selfish pansy, go ahead and buy this book."
No More Mr. Nice Guy – Robert Glover,Carl,2,,6,10,Nice Guy / Approval-Seeking Pattern,"I started practicing Brazilian jiu jitsu this year on the recommendation of a friend. I self identify as a slippery character who can talk their way out of any situation, so the idea of actually using martial arts is pretty alien. While choking someone at practice he explained that I am not being rough enough, that I was being too lenient. I explained it made me uncomfortable to choke him, that it felt wrong to try to hurt him. I kept saying this to him and he said “we get it, you’re a nice guy”. I felt it was significant because I was reading a book about “nice guys” and I was called one while I was reading it. That experience gets at the heart of my feelings about the content of the book and what I learned from it. There are a couple of central ideas the author explains. Most of your attitudes and behaviors are a product of life experience/baggage which is objectively true. Encouraging someone to reflect on their life can be helpful. By knowing yourself better you can make better decisions for yourself, so I think this is good advice. Another idea is that some people assume that if they are nice enough their needs will be met. This underlying assumption is false. A better way to have your needs met is identifying what they are and advocating for yourself. I don’t think the book goes far enough in its prescription. It does give good advice. But telling someone who can’t communicate well or stand up for themselves to be a bit more firm is not going to work, it’s too incremental. My solution is to over compensate for your timidity by reforming your behavior so far in the other direction that you end up balancing out. If you are an overly nice person instead of advocating for your interests and being firm you should instead be rude, obnoxious, cruel, impatient, sadistic, and reimagine these things as virtues. Maybe, if you are lucky, you can overcome what amounts to slavery style conditioning. I found that by adopting another persona which has the desired traits, by playing a character, I was able to achieve the desired effect. This worked as a method for breaking out of bad habits. By telling myself it is actually good to hurt people I found it much easier to make otherwise tough decisions. For example if you break up with someone you will hurt them, but it is good you hurt them because it wouldn’t work out. It is especially good to hurt them early and often and have no fear of hurting them or being hated. Perhaps it is a good thing to be hated and you should want it. The book gives lots of anecdotes about this, how a lot of things are counterintuitive and you can’t let fear control you, and you’ll get what you want if you stop being a pansy, and to its credit it works. I’m pretty harsh on this book and books in general, especially the self help genre because at some point it’s worthless crap that belongs in a dumpster. Really what you need is inspiration to leave your home and have uncomfortable experiences, and most self help books aren’t gonna give you that. I’ll probably read this again and again because it’s short and my friend told me to read it but it didn’t really strike my fancy or make me feel much different yet."
No More Mr. Nice Guy – Robert Glover,Arto Bendiken,4,,5,9,Nice Guy / Approval-Seeking Pattern,"All too many young (and not so young) Western men really and truly ought to read this book. This transcends self-help: it is self-debugging in the form of having a giant mirror of truth held up to your psyche while you re-evaluate your life and try to keep the cognitive dissonance at bay. Having been raised as a second-generation Nice Guy in a hyperfeminist society, I intimately recognize and acknowledge a number of the symptoms of Nice Guy Syndrome as laid out by Glover. Fortuitously, this book wasn't my first antidote, though it certainly proved the most systematic treatment and root cause analysis that I've encountered thus far on the matter—which makes it easy to forgive its flaws. For a man for whom this might be their first exposure to ""the world that has been pulled over your eyes"", I'd advise to read the book slowly. Stretch it out over a month if needed. I had significant previous exposure to most of Glover's thesis, yet it took a couple of weeks after finishing the book to fully accept and integrate some of it when reviewing my highlighted passages for this review; a definite token of cognitive dissonance. While Glover never mentions the connection in the book, his thesis also helped me connect certain dots on what turn out to be the surprisingly modern (or post-modern, if you will) and recent origins of nerddom itself. A topic to be taken up in an essay, if I should ever make the time for it. As Glover points out, I do have a few other miscellaneous projects to finish first. There are many, many men I might recommend this book to, but ultimately it isn't possible to rationally discuss this ego-destroying narrative with anyone who hasn't yet privately dealt with their deep-seated, unquestioned emotional framework in this regard. Fish can't see the water they swim in, and neither do we think to question too much of our upbringing. Yes, you could show someone the door, but he's the one who has to walk through it; and he's unlikely to do so until it's his last option. So, this shall remain a book to be discovered, not recommended. Thankfully we do have this thing called the Internet to facilitate such happy eventualities. Two irritants in my reading of the book were its overall repetitiveness—perhaps a fifth of the material could just be cut out, if read in one sitting—and the number of formatting issues in the Kindle edition; I flagged 23 content errors in total. Note to self: reread this book in another year's time to re-evalute matters."
No More Mr. Nice Guy – Robert Glover,Dennis Williams,5,,5,7,Nice Guy / Approval-Seeking Pattern,"What every nice guy needs to hear I came to this book after my wife asked me what my real goal in life was in the next couple of decades prior to retirement. I couldn't say, and couldn't even dredge up a dream that I thought was possible. It occurred to me that there was something wrong with that. Upon reading through Glover's labor of love, I could identify quite a few ""nice guy"" characteristics in my own way of operating. By the end, I am excited to reread the book, do the activities, and engage in the transformation to become a more integrated man. Already, after trying on some of the tips, such as asking for what I want clearly and directly, I have experienced surprisingly positive consequences. I had fallen into the trap of deprivation thinking, self-sufficiency, and not believing that I deserved what I wanted - that privileging my personal desires were illegitimate and wrong. This was magnified and rewarded by working in a non-profit, religious organization. I had become a liar to myself and others and cloaked it in a sinister false humility. My Mr. Nice Guy strategies worked well enough to keep things working just smoothly enough to persuade me that they were right, and when they didn't, I believed that it was simply my fault for failing to execute them properly. Glover's book was illuminating with regard to how toxic all that was for me and those around me. It's high time to start living an authentic, integrated, whole life."
No More Mr. Nice Guy – Robert Glover,Morgan Blackledge,4,,24,6,Career-First Late Bloomer,"It's been about 6 or 7 years since I read this book. So I don't remember much about it other than I liked it and was inspired by the authors story about how it took him like 10 years to write it and his wife had to threaten divorce before he got off his perfectionist ass and finished it. I was kind of shocked to see all of the extremely negative reviews. So I decided to chuck some stars up there for the author. Four of em to be exact. **** Here's to every guy who starts out a pussy, becomes a marital and family therapist, writes a book about being a pussy and how to be more of a dick, becomes a dick in the process, and goes on conservative talk shows to promote his book about how to become more dickish. As it turns out, the book made this guys career fucking explode. He's on the national level now. Pussy gone dick + book + Rush Limbaugh = Kaboom! That's inspirational I don't care who you are! NOTE: I actually like nice people, and I hate Rush Limbaugh. Please don't mistake this for an endorsement of anything that guy's ever done. But I still liked this book so fuck off :-)"
No More Mr. Nice Guy – Robert Glover,Payam,3,,17,6,Nice Guy / Approval-Seeking Pattern,"The book provides a clear diagnosis of the ""Mr. Nice Guy"" syndrome and reveals you the truth about it: ""Mr. Nice Guy"" is not nice at all. In fat, ""Nice Guy"" is a misnomer. The ""Nice Guy"" utilize manipulation and covert contracts to achieve what he wants, rather than being direct and properly articulating his needs. ""Mr. Nice Guy"" is not satisfied and utilizes methods that only backfire on himself. Fortunately, the author provides some solutions. The key methods to stop being a ""Nice Guy"" are as follows: 1. Articulate your needs clearly. Do not utilize manipulation to achieve what you want. You need a clear communication channel in your relationships. 2. Having boundaries and saying ""No"" are not poor qualities; instead, they are highly respectable qualities. People are attracted to those who know themselves well and establish clear boundaries. If someone is a pushover then who is that person really? They have no boundary to construct their identity with. 3. Establish self-justice. ""Nice Guys"" can peek into other relationships and identify the issue; yet they cannot see the issues when they are in it. ""Nice Guys"" need to step back and determine whether they are being fairly treated from a third-person perspective. They need to understand having needs and fulfilling those needs are not poor qualities. The book receives three stars due to its repetitive nature and emphasis of ""Nice Guy"" syndrome where it may not apply. It is best to complement this book with negotiation books such as ""Getting to Yes"" to understand how to fulfill your needs based on sound principles. You do not want to setup faulty boundaries or have unrealistic needs. You need to focus on your principles and use them to ""negotiate"". When you learn how to negotiate, learn to identify ""Nice Guys"", read a couple of other books on self-empowerment, then you are ready for your metamorphosis from the ""Nice Guy"" to the ""Confident Gentlemen""!"
